,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
935,1,CHELSEA,21 OFFICE BUILDINGS                        ,4,801,24, ,O3,119 WEST 25TH   STREET, ,10001,0,13,13,9875,113062,1906,4,O3,150000000,42720
954,1,CHELSEA,25 LUXURY HOTELS                           ,4,801,71, ,H1,152 WEST 26TH STREET, ,10001,0,1,1,9826,122236,2010,4,H1,139725000,42709
956,1,CHELSEA,26 OTHER HOTELS                            ,4,772,64, ,H3,216-222 WEST 23RD   STREET, ,10011,0,10,10,17281,170750,1900,4,H3,92007576,42671
2050,1,FASHION,21 OFFICE BUILDINGS                        ,4,784,64, ,O6,240 WEST 35TH STREET, ,10001,0,35,35,9875,145372,1924,4,O6,108000000,42724
2055,1,FASHION,21 OFFICE BUILDINGS                        ,4,838,12, ,O6,53 WEST 36TH   STREET, ,10018,0,17,17,5925,64300,1911,4,O6,54000000,42670
2062,1,FASHION,23 LOFT BUILDINGS                          ,4,762,61, ,L1,338 WEST 39TH   STREET, ,10018,0,12,12,4937,55473,1926,4,L1,1161500,42937
2063,1,FASHION,23 LOFT BUILDINGS                          ,4,785,75, ,L3,260 WEST 36TH   STREET, ,10018,0,12,12,7266,81375,1907,4,L3,5000000,42775
2066,1,FASHION,23 LOFT BUILDINGS                          ,4,805,39, ,L1,115-123 W 29TH, ,10001,0,15,15,6994,79465,1913,4,L1,220000,42723
2068,1,FASHION,25 LUXURY HOTELS                           ,4,760,18, ,H2,341 WEST 36TH   STREET, ,10018,0,1,1,7406,81000,2007,4,H2,105592700,42963
2070,1,FASHION,25 LUXURY HOTELS                           ,4,763,28, ,H2,311 WEST 39TH   STREET, ,10018,0,1,1,7406,177000,2010,4,H2,128177800,42642
2072,1,FASHION,25 LUXURY HOTELS                           ,4,837,6, ,H2,63-67 WEST 35TH STREET, ,10001,0,1,1,7406,122859,2008,4,H2,139657500,42709
2073,1,FASHION,26 OTHER HOTELS                            ,4,833,49, ,H3,6 WEST 32ND STREET, ,10001,0,9,9,4938,80185,1913,4,H3,51000000,42977
2568,1,FINANCIAL,25 LUXURY HOTELS                           ,4,10,33, ,H2,8 STONE STREET, ,10004,0,1,1,6834,143730,2007,4,H2,100107200,42642
2569,1,FINANCIAL,25 LUXURY HOTELS                           ,4,52,8, ,H2,133 GREENWICH STREET, ,10006,0,318,318,6109,130054,2014,4,H2,203345000,42726
2570,1,FINANCIAL,26 OTHER HOTELS                            ,4,40,16, ,H3,52 WILLIAM STREET, ,10005,0,2,2,6497,119467,1902,4,H3,93550000,42744
2571,1,FINANCIAL,26 OTHER HOTELS                            ,4,78,20, ,H8,106 FULTON STREET, ,10038,0,3,3,5646,74863,1900,4,H8,51100000,42650
3026,1,FLATIRON,21 OFFICE BUILDINGS                        ,4,829,16, ,O6,31 WEST 27TH STREET, ,10001,0,15,15,9876,106800,1910,4,O6,126000000,42929
3032,1,FLATIRON,21 OFFICE BUILDINGS                        ,4,856,9, ,O4,11-13 EAST 26TH   STREET, ,10010,0,35,35,11553,217991,1913,4,O4,1159531,42724
4153,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,4,563,31, ,O6,817 BROADWAY, ,10003,0,15,15,8175,114000,1900,4,O6,109000000,42695
4155,1,GREENWICH VILLAGE-CENTRAL,21 OFFICE BUILDINGS                        ,4,577,19, ,O5,34-42 W 14 STREET, ,10011,0,6,6,25297,151541,1930,4,O5,153000000,42745
4165,1,GREENWICH VILLAGE-CENTRAL,34 THEATRES                                ,4,556,65, ,J8,66 3 AVENUE, ,10003,0,1,1,7742,54328,1900,4,J8,32250000,42657
4785,1,GREENWICH VILLAGE-WEST,21 OFFICE BUILDINGS                        ,4,603,28, ,O3,95 MORTON STREET, ,10014,0,11,11,20019,154328,1911,4,O3,205961801,42830
5571,1,HARLEM-CENTRAL,22 STORE BUILDINGS                         ,4,1750,1, ,K4,2023 5 AVENUE, ,10035,0,10,10,16986,58000,1940,4,K4,15453750,42781
6685,1,KIPS BAY,26 OTHER HOTELS                            ,4,929,38, ,H8,340 EAST 24TH   STREET, ,10010,0,254,254,18344,113056,2015,4,H8,174000000,42677
7446,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1275,59, ,O4,292 MADISON AVENUE, ,10017,0,26,26,9250,170230,1923,4,O4,90000000,42650
7447,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1275,59, ,O4,292 MADISON AVENUE, ,10017,0,26,26,9250,170230,1923,4,O4,90000000,42650
7450,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1291,21, ,O6,551 MADISON AVENUE, ,10022,0,1,1,7541,125495,1922,4,O6,155000000,42754
7454,1,MIDTOWN CBD,21 OFFICE BUILDINGS                        ,4,1312,24, ,O6,145 EAST 57TH   STREET, ,10022,0,12,12,5020,58458,1926,4,O6,62750000,42649
7456,1,MIDTOWN CBD,22 STORE BUILDINGS                         ,4,1292,69, ,K4,727 5TH AVENUE, ,10022,0,1,1,10677,119867,1940,4,K4,131667000,42767
9597,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1025,54, ,O6,250 WEST 54TH   STREET, ,10019,0,59,59,11750,134441,1911,4,O6,83126000,42775
9598,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1026,21, ,O5,1706-1720 BROADWAY, ,10019,0,2,2,8848,52150,1918,4,O5,268124175,42740
9601,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1260,28, ,O6,15 WEST 44TH   STREET, ,10036,0,14,14,7532,52851,1914,4,O6,68000000,42873
9602,1,MIDTOWN WEST,21 OFFICE BUILDINGS                        ,4,1260,64, ,O6,56 WEST 45TH   STREET, ,10036,0,62,62,4016,58538,1914,4,O6,50000000,42740
9613,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,20000,42963
9614,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,19000,42874
9615,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 W 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,17480,42797
9616,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH   STREET, ,10019,0,2,2,7532,112850,2007,4,H3,20682,42782
9617,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,100,42669
9618,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,100,42641
9619,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9620,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9621,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9622,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9623,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9624,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9625,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9626,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49302,42635
9627,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9628,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9629,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9630,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9631,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9632,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,149700,42635
9633,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9634,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,88920,42635
9635,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,53910,42635
9636,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,53910,42635
9637,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,53910,42635
9638,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,83644,42635
9639,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,107820,42635
9640,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,131881,42635
9641,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,53910,42635
9642,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,215640,42635
9643,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,107820,42635
9644,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9645,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9646,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9647,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9648,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9649,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9650,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9651,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9652,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9653,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,149700,42635
9654,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,99800,42635
9655,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,74700,42635
9656,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9657,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9658,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9659,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9660,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,88920,42635
9661,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,33900,42635
9662,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,49900,42635
9663,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,53910,42635
9664,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,88920,42635
9665,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,53910,42635
9666,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,38160,42635
9667,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,38160,42635
9668,1,MIDTOWN WEST,26 OTHER HOTELS                            ,4,1009,37, ,H3,102 WEST 57TH STREET, ,10019,0,2,2,7532,112850,2007,4,H3,40370,42635
